Date,polarity,nlp_signal
8/6/18,0,0
8/7/18,0,0
8/8/18,0.05,1
8/9/18,0,0
8/10/18,0.666666667,1
8/13/18,0,0
8/14/18,-0.5,-1
8/15/18,0,0
8/16/18,1,1
8/17/18,0,0
8/20/18,1,1
8/21/18,0.016666667,1
8/22/18,0,0
8/23/18,0,0
8/24/18,0,0
8/27/18,0,0
8/28/18,0.2,1
8/29/18,1,1
8/30/18,0,0
8/31/18,0,0
9/4/18,0.25,1
9/5/18,0.55,1
9/6/18,0,0
9/7/18,0,0
9/10/18,0.3125,1
9/11/18,0,0
9/12/18,1,1
9/13/18,0,0
9/14/18,-0.155555556,-1
9/17/18,0,0
9/18/18,0,0
9/19/18,0,0
9/20/18,0.166666667,1
9/21/18,1,1
9/24/18,0.3375,1
9/25/18,0.433333333,1
9/26/18,-0.085416667,-1
9/27/18,-0.466666667,-1
9/28/18,0.625,1
10/1/18,0,0
10/2/18,0,0
10/3/18,0,0
10/4/18,0.516666667,1
10/5/18,0,0
10/8/18,0,0
10/9/18,0,0
10/10/18,0,0
10/11/18,0.5,1
10/12/18,0.016666667,1
10/15/18,-0.15,-1
10/16/18,0,0
10/17/18,-0.05,-1
10/18/18,0,0
10/19/18,0.2875,1
10/22/18,0.8,1
10/23/18,0.25,1
10/24/18,0.6,1
10/25/18,-0.4,-1
10/26/18,-0.5,-1
10/29/18,0.033333333,1
10/30/18,0.5,1
10/31/18,0,0
11/1/18,-0.3,-1
11/2/18,0,0
11/5/18,0.136363636,1
11/6/18,-0.085416667,-1
11/7/18,0,0
11/8/18,0,0
11/9/18,0,0
11/12/18,0,0
11/13/18,0,0
11/14/18,-0.466666667,-1
11/15/18,0.5,1
11/16/18,0,0
11/19/18,0.166666667,1
11/20/18,0.516666667,1
11/21/18,0,0
11/23/18,-0.018181818,-1
11/26/18,0,0
11/27/18,0.033333333,1
11/28/18,-0.000595238,-1
11/29/18,0.275,1
11/30/18,-0.5,-1
12/3/18,0.058333333,1
12/4/18,-0.291666667,-1
12/6/18,0.142424242,1
12/7/18,0.318181818,1
12/10/18,0.621428571,1
12/11/18,0.142857143,1
12/12/18,-0.5,-1
12/13/18,0,0
12/14/18,0,0
12/17/18,0,0
12/18/18,0.142424242,1
12/19/18,0.5,1
12/20/18,-0.2,-1
12/21/18,0.65,1
12/24/18,0.25,1
12/26/18,0,0
12/27/18,0.6,1
12/28/18,0,0
12/31/18,0.5,1
1/2/19,0.6,1
1/3/19,0.136363636,1
1/4/19,0,0
1/7/19,-0.5,-1
1/8/19,0.142424242,1
1/9/19,0.25,1
1/10/19,0,0
1/11/19,0.625,1
1/14/19,0,0
1/15/19,0,0
1/16/19,0.261666667,1
1/17/19,0.6,1
1/18/19,0.7875,1
1/22/19,0,0
1/23/19,0,0
1/24/19,0,0
1/25/19,0.375,1
1/28/19,0,0
1/29/19,0,0
1/30/19,0,0
1/31/19,-0.8,-1
2/1/19,0,0
2/4/19,-0.1,-1
2/5/19,0.25,1
2/6/19,0.25,1
2/7/19,0.033333333,1
2/8/19,0.433333333,1
2/11/19,0.366666667,1
2/12/19,0,0
2/13/19,-0.5,-1
2/14/19,-0.5,-1
2/15/19,0,0
2/19/19,0,0
2/20/19,1,1
2/21/19,0,0
2/22/19,0.3,1
2/25/19,-0.325,-1
2/26/19,0.7,1
2/27/19,0.142424242,1
2/28/19,0,0
3/1/19,0,0
3/4/19,-0.5,-1
3/5/19,-0.13125,-1
3/6/19,0,0
3/7/19,0,0
3/8/19,-0.5,-1
